skills;skills_ai_det;skills_hasai_det;desc_tier_llm;desc_conf_llm;ai_confidence;desc_ai_llm;is_real_ai;hardskills;softskills;edu_level_det;edulevel_llm;experience_min_llm;ai_det_llm_match;desc_hard_det;desc_soft_det;desc_hard_llm;desc_soft_llm;id;job_title;location;company_id;company;age_in_days;pay_currency;pay_period;salary_min;salary_mid;salary_max;rating;discover_date;job_types;remote_work_types;city;state;country;latitude;longitude;ceo;headquarters;industry;sector;revenue;size;type;year_founded;region;job_family;sector_nace;cluster_architecture__methods;cluster_bi__analytics;cluster_backend_development;cluster_certifications;cluster_cloud_computing;cluster_data_analysis__stats;cluster_data_engineering;cluster_data_science__ml;cluster_databases__storage;cluster_devops__containers;cluster_dynamic__web;cluster_enterprise__managed;cluster_enterprise_platforms;cluster_frontend_development;cluster_generative_ai;cluster_legacy__mainframe;cluster_mobile__desktop;cluster_networking;cluster_os__embedded;cluster_scripting__shell;cluster_security__identity;cluster_systems_programming;cluster_testing_qa__debugging;cluster_tools__editors;skill_cluster;website
Node.js, CSS, React, Responsive web design, JavaScript, REST, APIs, Integration testing, AI, TypeScript, Design patterns;ai;1;ai_integration;0.55;0.55;AI tools, AI-assisted development;0;api, api design, backend development, clean code, code quality, css, design patterns, flutter, foundation, frontend development, full stack, integration testing, javascript, jest, nest.js, node.js, optimization, react, responsive design, rest, software engineering, solid, swagger, tailwind, typescript, ui, vite, zustand;adaptability, attention to detail, collaboration, fast learner, flexibility, integrity, teamwork;;-;-;1;api, api design, backend development, clean code, code quality, css, design patterns, flutter, foundation, frontend development, full stack, integration testing, javascript, jest, nest.js, node.js, optimization, react, responsive design, rest, software engineering, solid, swagger, tailwind, typescript, ui, vite, zustand;adaptability, attention to detail, collaboration, fast learner, flexibility, integrity, teamwork;;;16;Full Stack Software Engineer;Bengaluru;;TalentWeave;3;INR;ANNUAL;634457.0;1294424.0;1954391.0;;2025-10-10T00:00:00;Full-time;;Bengaluru;Karnataka;India;12.96697;77.58728;;;;;;;;;Unknown;Software Developer;Unknown;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;;
CI/CD, Cloud infrastructure, CSS, React, Relational databases, .NET Core, C#, Microsoft SQL Server, Git, Responsive web design, .NET, AWS, JavaScript, Continuous integration, REST, Redux, Angular, Scrum, APIs, Agile, AI, TypeScript, Communication skills, Entity Framework, HTML5;ai;1;ai_integration;0.6;0.6;AI tools, automation;0;agile, angular, api, aws, c#, ci/cd, clean code, cloud infrastructure, code quality, continuous integration, css, dotnet, foundation, frontend development, full stack, gcp, git, html, javascript, jest, react, react testing library, redux, responsive design, rest, safe, scrum, solid, sql server, typescript, version control, vue;collaboration, communication, continuous learning, creativity, innovation, ownership, proactive, problem solving, reliability;;-;5;1;agile, angular, api, aws, c#, ci/cd, clean code, cloud infrastructure, code quality, continuous integration, css, dotnet, foundation, frontend development, full stack, gcp, git, html, javascript, jest, react, react testing library, redux, responsive design, rest, safe, scrum, solid, sql server, typescript, version control, vue;collaboration, communication, continuous learning, creativity, innovation, ownership, proactive, problem solving, reliability;;;17;Senior Software Development Engineer;Remote;842342.0;Wagepoint;32;INR;ANNUAL;2500000.0;2750000.0;3000000.0;4.3;2025-10-10T00:00:00;Full-time;WORK_FROM_HOME;;;India;20.0;77.0;Ben Richmond;Calgary, Canada;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;51 to 200 Employees;Company - Private;2012.0;Unknown;Sr+ Software Engineer;J;1;0;1;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;;
Software troubleshooting;;0;none;0.92;0.92;;0;debugging, software engineering;troubleshooting;;-;-;1;debugging, software engineering;troubleshooting;;;18;Software Developer;India;1737.0;Oracle;2;INR;;;;;3.7;2025-10-11T00:00:00;Full-time;;;;India;20.0;77.0;Safra A. Catz;Austin, United States;Enterprise Software & Network Solutions;Information Technology;$10+ billion (USD);10000+ Employees;Company - Public;1977.0;Unknown;Software Developer;J;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
CI/CD, JUnit, XML, Data structures, NoSQL, Git, MongoDB, Java, Databases, SQL, AWS, Docker, PostgreSQL, Continuous integration, JPA, REST, APIs, JSON, Kafka, Unit testing, Spring, Hibernate, MySQL;;0;none;0.93;0.93;;0;api, aws, ci/cd, code quality, continuous integration, debugging, devops, docker, frontend development, gcp, git, https, java, json, junit, kafka, microservices, mockito, mongodb, mysql, nosql, optimization, postgresql, qa, rabbitmq, rest, spring, spring boot, sql, unit testing, xml;autonomous, collaboration, cross-functional collaboration, flexibility, ownership;;-;-;1;api, aws, ci/cd, code quality, continuous integration, debugging, devops, docker, frontend development, gcp, git, https, java, json, junit, kafka, microservices, mockito, mongodb, mysql, nosql, optimization, postgresql, qa, rabbitmq, rest, spring, spring boot, sql, unit testing, xml;autonomous, collaboration, cross-functional collaboration, flexibility, ownership;;;19;Java Developer;Remote;;DevsLane;3;INR;ANNUAL;1200000.0;1500000.0;1800000.0;;2025-10-10T00:00:00;Full-time;WORK_FROM_HOME;;;India;20.0;77.0;;;;;;;;;Unknown;Software Developer;Unknown;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;;
EDI, Relational databases, English, Java, Databases, Mentoring, Angular, Software development, APIs, AI, Communication skills, Python;ai;1;ai_integration;0.7;0.7;AI development tooling, Cursor, Claude;0;angular, api, claude, java, mobile development, python, qa, rails, software engineering, solid, version control;collaboration, communication, cross-functional collaboration, flexibility, initiative, innovation, mentoring, problem solving;bachelor;Bachelor's;5;1;angular, api, claude, java, mobile development, python, qa, rails, software engineering, solid, version control;collaboration, communication, cross-functional collaboration, flexibility, initiative, innovation, mentoring, problem solving;;;20;Software Engineer;Remote;;openDr Business Services Pvt. Ltd.;18;INR;ANNUAL;1300000.0;1300000.0;1300000.0;;2025-09-24T00:00:00;Full-time;WORK_FROM_HOME;;;India;20.0;77.0;;;;;;;;;Unknown;Software Engineer;Unknown;1;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;;
CSS, WordPress, PHP, JavaScript, HTML5;;0;none;0.95;0.95;;0;css, html, javascript, php;;;-;0;1;css, html, javascript, php;;;;21;Software Developer;Bengaluru;1309012.0;alive now;324;INR;ANNUAL;300000.0;386329.0;497500.0;4.1;2025-09-22T00:00:00;Full-time;;Bengaluru;Karnataka;India;12.96697;77.58728;Adhvith Dhuddu;Bengaluru, India;Information Technology Support Services;Information Technology;Unknown / Non-Applicable;1 to 50 Employees;Company - Private;2009.0;Unknown;Software Developer;J;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;
;;0;none;0.9;0.9;;0;;;;-;-;1;;;;;22;Software Engineer;Pimpri-Chinchwad;;Chandan Tech Solutions Pvt ltd;14;INR;ANNUAL;309471.0;722293.0;1135116.0;;2025-09-28T00:00:00;Full-time;;Pimpri-Chinchwad;Maharashtra;India;18.6187;73.8037;;;;;;;;;Unknown;Software Engineer;Unknown;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
CI/CD, Statistics, CSS, React, Relational databases, Data structures, NoSQL, Test-driven development, Java, Databases, OOP, AWS, JavaScript, Continuous integration, Ruby, Python, jQuery, HTML5;;0;none;0.9;0.9;;0;aws, ci/cd, continuous integration, css, frontend development, html, java, javascript, jquery, nosql, ooad, oop, python, rails, react, ruby, statistics, tdd;flexibility, passion;bachelor;Bachelor's;1;1;aws, ci/cd, continuous integration, css, frontend development, html, java, javascript, jquery, nosql, ooad, oop, python, rails, react, ruby, statistics, tdd;flexibility, passion;;;23;Software Developer;Remote;6250465.0;ACNJ Technologies LLP;20;INR;ANNUAL;350000.0;375000.0;400000.0;3.6;2025-09-22T00:00:00;Full-time;WORK_FROM_HOME;;;India;20.0;77.0;;Mumbai, India;;;Unknown / Non-Applicable;Unknown;Company - Public;;Unknown;Software Developer;Unknown;1;1;1;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;;
;;0;none;0.7;0.7;;0;software engineering;empathy, organization;;-;-;1;software engineering;empathy, organization;;;24;Software/Platform Engineer I;Hyderābād;2899.0;MetLife;0;INR;ANNUAL;252374.0;313327.0;389000.0;4.0;2025-10-12T00:00:00;Full-time;;Hyderābād;Telangana;India;17.41141;78.48478;Michel Khalaf;New York, United States;Insurance Agencies & Brokerages;Insurance;$10+ billion (USD);10000+ Employees;Company - Public;1868.0;Unknown;DevOps & Cloud;K;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Azure, C#, .NET, Java, C++, C, JavaScript, Distributed systems, Python;;0;none;0.9;0.9;;0;azure, c#, c++, cloud services, dotnet, foundation, full stack, java, javascript, python;accountability, growth mindset, integrity, organization, reliability;bachelor;Bachelor's;-;1;azure, c#, c++, cloud services, dotnet, foundation, full stack, java, javascript, python;accountability, growth mindset, integrity, organization, reliability;;;25;Software Engineer;Hyderābād;1651.0;Microsoft;0;INR;ANNUAL;125000.0;255247.0;521208.0;4.1;2025-10-12T00:00:00;Full-time;;Hyderābād;Telangana;India;17.41141;78.48478;Satya Nadella;Redmond, United States;Computer Hardware Development;Information Technology;$10+ billion (USD);10000+ Employees;Company - Public;1975.0;Unknown;Software Engineer;J;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;;
Android, Java, Distributed systems, Ruby, Python;;0;none;0.55;0.55;;0;android, foundation, java, kotlin, python, ruby, software engineering, solid, storage, unix;collaboration, initiative;;-;-;1;android, foundation, java, kotlin, python, ruby, software engineering, solid, storage, unix;collaboration, initiative;;;26;Software Engineer Intern;Remote;1356747.0;Branch International;5;INR;;;;;4.2;2025-10-07T00:00:00;Internship;WORK_FROM_HOME;;;India;20.0;77.0;Matt Flannery;San Francisco, United States;Banking & Lending;Finance;Unknown / Non-Applicable;51 to 200 Employees;Company - Private;2015.0;Unknown;Software Engineer;K;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;;
Microsoft SQL Server, Databases, SQL, Analysis skills, Software development, Communication skills;;0;none;0.9;0.9;;0;backend development, optimization, software engineering, sql, sql server;communication, problem solving, teamwork;bachelor;Bachelor's;0;1;backend development, optimization, software engineering, sql, sql server;communication, problem solving, teamwork;;;27;Junior Software Engineer (SQL);India;518875.0;Dr. Batra's;3;INR;ANNUAL;433669.0;466835.0;500000.0;4.0;2025-10-09T00:00:00;Full-time;;;;India;20.0;77.0;Mahesh Mahadeshwar;Mumbai, India;HR Consulting;Human resources and staffing;Unknown / Non-Applicable;201 to 500 Employees;Company - Private;2005.0;Unknown;Software Engineer;N;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
Node.js, J2EE, MongoDB, Java, PHP, AWS, Machine learning, JavaScript, Scripting, Scrum, Ruby, APIs, Agile, Apache, AI, Communication skills, Python, NGINX, MySQL, SDLC;ai, machine learning;1;applied_ai;0.62;0.62;AI/ML, machine learning, artificial intelligence, AI models, data processing pipelines;1;agile, apache, api, aws, code quality, frontend development, full stack, java, java ee, javascript, lambda, laravel, machine learning, mongodb, mysql, nginx, node.js, php, python, ruby, scrum, software engineering, sqs, storage, ux;accountability, collaboration, communication, continuous learning, creativity, curiosity, organization, problem solving, teamwork;bachelor;Bachelor's;7;1;agile, apache, api, aws, code quality, frontend development, full stack, java, java ee, javascript, lambda, laravel, machine learning, mongodb, mysql, nginx, node.js, php, python, ruby, scrum, software engineering, sqs, storage, ux;accountability, collaboration, communication, continuous learning, creativity, curiosity, organization, problem solving, teamwork;;;28;Senior Software Engineer (Full Stack);Remote;1081788.0;MyAdvice;52;INR;ANNUAL;1500000.0;1750000.0;2000000.0;4.2;2025-09-21T00:00:00;Full-time;WORK_FROM_HOME;;;India;20.0;77.0;Shawn Miele;Park City, United States;Advertising & Public Relations;Media and communication;$5 to $25 million (USD);51 to 200 Employees;Company - Private;1998.0;Unknown;Sr+ Software Engineer;J;1;0;1;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;;
